#Title;Digilent WaveForms Oscilloscope Data
#Device Name;Analog Discovery
#Serial Number;SN:210244581280
#Software Version;2.7.5
Time (s);C1 (V)
0;2,01034491750226
0,00750000000000028;2,01368155577459
0,014999999999997;2,02035483231927
0,0225000000000009;2,0403746619533
0,0300000000000011;2,09376087431071
0,0374999999999979;2,07374104467668
0,0449999999999982;2,09709751258305
0,052500000000002;2,12379061876175
0,0599999999999987;2,12045398048942
0,067499999999999;2,05705785331499
0,0749999999999993;2,06706776813201
0,0824999999999996;2,07707768294902
0,0899999999999999;2,0837509594937
0,0975000000000001;2,13046389530643
0,104999999999997;2,16383027802981
0,112500000000001;2,1971966607532
0,120000000000001;2,21387985211489
0,127499999999998;2,22722640520424
0,134999999999998;2,24390959656593
0,142500000000002;2,25725614965528
0,149999999999999;2,27060270274464
0,157499999999999;2,29062253237867
0,164999999999999;2,31397900028503
0,172499999999999;2,33066219164672
0,18;2,34067210646374
0,1875;2,35735529782543
0,194999999999997;2,36736521264244
0,202500000000001;2,38404840400414
0,210000000000001;2,39072168054881
0,217499999999998;2,39072168054881
0,224999999999998;2,39405831882115
0,232500000000002;2,40406823363816
0,239999999999998;2,4074048719105
0,247499999999999;2,40406823363816
0,254999999999999;2,4074048719105
0,262499999999999;2,41074151018284
0,27;2,4074048719105
0,2775;2,40406823363816
0,285;2,40073159536583
0,2925;2,39739495709349
0,300000000000001;2,40073159536583
0,307500000000001;2,4074048719105
0,314999999999998;-0,108420385432505
0,322500000000002;0,0383916985503759
0,330000000000002;0,0650848047290815
0,337499999999999;0,0550748899120669
0,344999999999999;0,0450649750950523
0,352500000000003;0,0317184220056994
0,359999999999999;0,0116985923716702
0,3675;-0,0183311520793737
0,375;-0,0650440878921085
0,3825;-0,128440215066534
0,390000000000001;-0,215192810147328
0,397500000000001;-0,288598852138768
0,404999999999998;-0,358668255857871
0,412500000000001;-0,438747574393988
0,420000000000002;-0,535510084291796
0,427499999999998;-0,608916126283236
0,434999999999999;-0,678985530002338
0,442500000000003;-0,745718295449103
0,449999999999999;-0,795767869534176
0,4575;-0,839144167074572
0,465;-0,855827358436263
0,4725;-0,889193741159645
0,48;-0,915886847338351
0,487500000000001;-0,925896762155366
0,494999999999997;-0,902540294248998
0,502500000000001;-0,859163996708602
0,510000000000002;-0,969273059695762
0,517499999999998;-1,09606531404461
0,524999999999999;-1,2428773980275
0,532500000000002;-1,38968948201038
0,539999999999999;-1,47977871536351
0,547499999999999;-1,65662054379743
0,555;-1,84347228704837
0,5625;-1,99028437103125
0,57;-2,10706671056309
0,577500000000001;-2,21717577355025
0,584999999999997;-2,32061155999274
0,592500000000001;-2,38400768716716
0,600000000000001;-2,45074045261393
0,607499999999998;-2,51747321806069
0,614999999999998;-2,57419606869044
0,622500000000002;-2,60422581314148
0,629999999999999;-2,65093874895422
0,637499999999999;-2,71433487612864
0,645;-2,76772108848606
0,6525;-2,79441419466476
0,66;-2,81109738602645
0,6675;-2,88784006629023
0,674999999999997;-2,91786981074127
0,682500000000001;-2,98460257618804
0,690000000000001;-3,05467197990714
0,697499999999998;-3,10805819226455
0,704999999999998;-3,17479095771132
0,712500000000002;-3,24819699970276
0,719999999999999;-3,33494959478355
0,727499999999999;-3,38833580714096
0,734999999999999;-3,44839529604305
0,7425;-3,46841512567708
0,75;-3,48843495531111
0,7575;-3,57185091211956
0,765000000000001;-3,62523712447697
0,772500000000001;-3,67528669856205
0,780000000000001;-3,7587026553705
0,787500000000001;-3,82209878254493
0,794999999999998;-3,90551473935338
0,802500000000002;-3,92887120725975
0,810000000000002;-4,01228716406821
0,817499999999999;-4,06901001469796
0,824999999999999;-4,15242597150641
0,832500000000003;-4,2124854604085
0,84;-4,30591133203397
0,8475;-4,42603030983814
0,855;-4,56283247900401
0,862500000000001;-4,6929613716252
0,870000000000001;-4,80307043461236
0,877500000000001;-4,91651613587186
0,884999999999998;-5,14007090011852
0,892499999999998;-5,30356617546309
0,900000000000002;-5,41033860017792
0,907499999999999;-5,48708128044169
0,914999999999999;-5,5571506841608
0,922500000000003;-5,53045757798209
0,93;-5,5137743866204
0,9375;-5,54046749279911
0,945;-5,58050715206716
0,952499999999997;-5,60052698170119
0,960000000000001;-5,62388344960756
0,967500000000001;-5,68727957678199
0,974999999999998;-5,7406657891394
0,982500000000002;-5,80406191631382
0,990000000000002;-5,90082442621163
0,997499999999999;-6,07432961637322
1,005;-6,17109212627103
1,0125;-6,23448825344545
1,02;-6,30455765716455
1,0275;-6,42467663496873
1,035;-6,31790421025391
1,0425;-6,27119127444117
1,05;-6,32791412507092
1,0575;-6,38797361397301
1,065;-6,40799344360704
1,0725;-6,43134991151341
1,08;-6,54813225104524
1,0875;-6,72497407947917
1,095;-6,81839995110464
1,1025;-6,85510297210036
1,11;-6,76501373874723
1,1175;-6,70829088811748
1,125;-6,80171675974295
1,1325;-6,93851892890881
1,14;-7,02527152398961
1,1475;-7,05530126844065
1,155;-7,08866765116403
1,1625;-7,31889569195537
1,17;-7,3389155215894
1,1775;-7,26217284132562
1,185;-7,32890560677238
1,1925;-7,40564828703616
1,2;-7,35226207467875
1,2075;-7,28886594750433
1,215;-7,33557888331706
1,2225;-7,42233147839785
1,23;-7,50241079693397
1,2375;-7,57915347719775
1,245;-7,64254960437218
1,2525;-7,70928236981894
1,26;-7,75933194390401
1,2675;-7,80270824144441
1,275;-7,83607462416779
1,2825;-7,93617377233794
1,29;-7,9595302402443
1,2975;-8,00624317605704
1,305;-8,12302551558888
1,3125;-8,14304534522291
1,32;-8,26983759957176
